City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Abu Zabad,SD,2022-08-14 00:46:49,12.35,29.25,75.06,81,100,10.65
264,Mandalgovi,MN,2022-08-14 00:46:49,45.7625,106.2708,59.25,69,0,13.15
265,Qasigiannguit,GL,2022-08-14 00:46:50,68.8193,-51.1922,48.45,80,62,2.62
266,Pathein,MM,2022-08-14 00:45:32,16.7833,94.7333,78.42,90,100,3.6
267,Angoram,PG,2022-08-14 00:46:50,-4.0625,144.0661,87.15,60,53,2.01
268,Merauke,ID,2022-08-14 00:46:14,-8.4667,140.3333,80.98,74,94,11.03
269,Hualmay,PE,2022-08-14 00:46:51,-11.0964,-77.6139,61.75,83,39,9.44
270,Navalmoral De La Mata,ES,2022-08-14 00:46:51,39.8916,-5.5406,69.57,40,31,4.74
271,Port Hedland,AU,2022-08-14 00:46:51,-20.3167,118.5667,77.05,41,70,12.66
272,Coihaique,CL,2022-08-14 00:46:52,-45.5752,-72.0662,35.55,87,100,9.22
273,Svarstad,NO,2022-08-14 00:47:52,59.399,9.9698,62.71,80,72,1.63
274,Khandyga,RU,2022-08-14 00:47:53,62.6667,135.6,70.72,53,62,2.28
275,Grand Gaube,MU,2022-08-14 00:47:53,-20.0064,57.6608,69.39,67,99,8.01
276,Cabo San Lucas,MX,2022-08-14 00:44:39,22.8909,-109.9124,91.51,72,75,4.61
277,Khipro,PK,2022-08-14 00:47:54,25.8285,69.3772,79.41,85,100,11.34
278,Pemba,MZ,2022-08-14 00:47:54,-12.974,40.5178,72.3,83,20,3.44
279,Geraldton,AU,2022-08-14 00:47:54,-28.7667,114.6,54.01,87,56,11.5
280,Tautira,PF,2022-08-14 00:47:55,-17.7333,-149.15,77.67,77,89,14.85
281,Lokoja,NG,2022-08-14 00:47:55,7.8024,6.743,72.61,97,100,7.52
282,Cockburn Town,TC,2022-08-14 00:47:56,21.4612,-71.1419,82.36,74,40,9.22
283,Clyde River,CA,2022-08-14 00:47:56,70.4692,-68.5914,39.43,93,100,9.22
284,Rangpo,IN,2022-08-14 00:47:57,27.1833,88.5333,76.66,97,99,0.69
285,Morondava,MG,2022-08-14 00:47:57,-20.2833,44.2833,68.23,84,0,4.68
286,Lata,PT,2022-08-14 00:47:58,40.1629,-8.3327,56.71,98,85,1.23
287,Okitipupa,NG,2022-08-14 00:47:58,6.5047,4.7839,73.87,93,100,6.73
288,Manati,PR,2022-08-14 00:47:59,18.4275,-66.4921,82.71,85,8,8.1
289,Petropavlovsk-Kamchatskiy,RU,2022-08-14 00:47:59,53.0452,158.6483,59.59,88,75,8.95
